City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Cape Town,ZA,2020-09-29 22:49:52,-33.93,18.42,55.99,76,4,12.75
100,Georgetown,MY,2020-09-29 22:53:02,5.41,100.34,80.6,94,20,1.12
101,Cherskiy,RU,2020-09-29 22:53:42,68.75,161.3,42.67,64,100,14.23
102,Kaitangata,NZ,2020-09-29 22:52:56,-46.28,169.85,45.0,66,66,5.99
103,Castro,BR,2020-09-29 22:53:02,-24.79,-50.01,66.22,88,67,4.61
104,Gat,IL,2020-09-29 22:53:53,31.61,34.76,77.0,83,0,1.57
105,Piet Retief,ZA,2020-09-29 23:01:12,-27.01,30.81,51.46,94,99,5.08
106,Bongandanga,CD,2020-09-29 23:01:12,1.5,21.05,68.5,97,84,1.48
107,Nidzica,PL,2020-09-29 23:01:12,53.36,20.43,53.6,87,99,5.82
108,Tuktoyaktuk,CA,2020-09-29 22:51:27,69.45,-133.04,37.4,93,90,3.36
109,Te Anau,NZ,2020-09-29 22:55:06,-45.42,167.72,40.93,83,46,2.46
110,Hilo,US,2020-09-29 22:53:07,19.73,-155.09,84.2,70,1,13.87
111,Calabar,NG,2020-09-29 23:01:13,4.95,8.32,72.27,97,98,0.51
112,Dunedin,NZ,2020-09-29 22:55:09,-45.87,170.5,46.99,63,84,25.01
113,Ilulissat,GL,2020-09-29 22:53:29,69.22,-51.1,28.4,63,57,6.93
114,Nizhniy Odes,RU,2020-09-29 23:01:13,63.64,54.86,43.56,93,0,4.43
115,Dorado,PR,2020-09-29 23:01:13,18.46,-66.27,84.2,74,40,4.7
116,Hanmer Springs,NZ,2020-09-29 23:01:13,-42.52,172.82,49.82,50,0,1.63
117,Saurimo,AO,2020-09-29 23:01:14,-9.66,20.39,67.87,88,91,5.08
118,Barrow,US,2020-09-29 22:52:58,71.29,-156.79,33.8,80,90,8.05
119,Marsa Matruh,EG,2020-09-29 22:56:32,31.35,27.25,75.2,83,0,5.82
120,East London,ZA,2020-09-29 22:53:04,-33.02,27.91,59.29,67,97,1.81
121,Saint Paul,US,2020-09-29 22:55:46,44.94,-93.09,66.0,48,20,9.17
122,Marawi,PH,2020-09-29 22:56:23,8.0,124.29,73.99,87,57,5.99
123,Broken Hill,AU,2020-09-29 22:55:23,-31.95,141.43,57.2,76,1,13.87
124,Bulgan,MN,2020-09-29 23:01:14,48.81,103.53,38.59,70,99,6.02
125,Alyangula,AU,2020-09-29 22:58:16,-13.85,136.42,80.6,78,73,5.82
126,Ravar,IR,2020-09-29 22:59:17,31.27,56.81,58.46,36,75,2.35
127,Bambous Virieux,MU,2020-09-29 22:53:20,-20.34,57.76,71.6,88,40,11.41
128,Comodoro Rivadavia,AR,2020-09-29 22:53:43,-45.87,-67.5,42.8,87,75,4.72
129,Santa Isabel Do Rio Negro,BR,2020-09-29 23:01:15,-0.41,-65.02,78.44,82,100,1.43
130,Anchorage,US,2020-09-29 22:58:03,61.22,-149.9,53.01,61,1,3.36
131,Flin Flon,CA,2020-09-29 22:55:49,54.77,-101.86,60.8,38,75,16.11
132,Meulaboh,ID,2020-09-29 22:53:50,4.14,96.13,76.69,88,100,4.85
133,Beinamar,TD,2020-09-29 23:01:15,8.67,15.38,70.92,96,100,4.68
134,Mahebourg,MU,2020-09-29 22:53:10,-20.41,57.7,71.6,88,40,11.41
135,Pevek,RU,2020-09-29 22:53:17,69.7,170.31,38.17,77,100,19.55
136,Tamandare,BR,2020-09-29 23:01:16,-8.76,-35.1,74.8,79,6,8.16
137,Geraldton,AU,2020-09-29 22:52:57,-28.77,114.6,48.2,93,1,8.05
138,Nevelsk,RU,2020-09-29 23:01:16,46.67,141.86,51.8,93,75,4.47
139,Faanui,PF,2020-09-29 22:53:11,-16.48,-151.75,78.71,79,3,22.93
140,Lavrentiya,RU,2020-09-29 23:00:37,65.58,-171.0,37.44,76,0,2.08
141,San Patricio,MX,2020-09-29 22:53:36,19.22,-104.7,89.6,66,75,5.82
142,Norman Wells,CA,2020-09-29 22:53:17,65.28,-126.83,46.4,65,20,12.75
143,Tiarei,PF,2020-09-29 23:01:16,-17.53,-149.33,86.0,62,40,13.87
144,Butaritari,KI,2020-09-29 22:53:01,3.07,172.79,82.35,75,30,14.12
145,Coihaique,CL,2020-09-29 22:54:07,-45.58,-72.07,44.6,45,20,6.93
146,Qaqortoq,GL,2020-09-29 23:01:06,60.72,-46.03,33.8,50,0,4.7
147,Adrar,MR,2020-09-29 22:54:03,20.5,-10.07,93.25,17,0,8.32
148,Hasaki,JP,2020-09-29 22:53:34,35.73,140.83,64.4,77,20,12.75
149,Luderitz,NA,2020-09-29 22:53:58,-26.65,15.16,58.62,52,0,21.21
150,Sunyani,GH,2020-09-29 23:01:17,7.34,-2.33,71.02,99,81,4.09
151,Nanortalik,GL,2020-09-29 22:53:54,60.14,-45.24,36.18,77,0,22.1
152,Serenje,ZM,2020-09-29 23:01:17,-13.23,30.24,66.4,44,0,5.03
153,Talnakh,RU,2020-09-29 23:01:18,69.49,88.4,32.0,95,75,8.95
154,Matagami,CA,2020-09-29 23:00:36,49.75,-77.63,53.6,93,90,5.82
155,Komsomolskiy,UZ,2020-09-29 23:01:18,40.43,71.72,57.2,50,78,1.59
156,Hovd,MN,2020-09-29 22:53:40,48.01,91.64,35.67,73,51,3.04
157,Nabire,ID,2020-09-29 22:56:31,-3.37,135.48,80.83,79,98,2.3
158,Colombo,LK,2020-09-29 23:00:59,6.93,79.85,80.6,83,40,9.17
159,Hofn,IS,2020-09-29 22:53:43,64.25,-15.21,47.97,93,100,15.59
160,Anloga,GH,2020-09-29 23:01:19,5.79,0.9,78.8,83,40,11.41
161,Miraflores,MX,2020-09-29 22:58:15,19.22,-98.81,57.2,71,90,11.41
162,Deer Lake,CA,2020-09-29 23:00:45,49.17,-57.43,68.0,77,75,4.7
163,Thompson,CA,2020-09-29 22:53:41,55.74,-97.86,55.4,62,75,9.17
164,Maues,BR,2020-09-29 23:01:19,-3.38,-57.72,86.54,46,69,2.59
165,Ribeira Grande,PT,2020-09-29 22:53:16,38.52,-28.7,66.88,68,1,11.95
166,Nelson Bay,AU,2020-09-29 22:58:35,-32.72,152.15,66.0,63,98,8.05
167,Yatou,CN,2020-09-29 23:01:20,37.15,122.38,59.94,73,15,11.99
168,Humberto De Campos,BR,2020-09-29 23:01:20,-2.6,-43.46,77.52,85,85,6.38
169,Harrison,US,2020-09-29 23:01:20,30.41,-89.04,75.2,38,1,13.87
170,Lebu,CL,2020-09-29 22:52:58,-37.62,-73.65,49.73,84,78,20.74
171,Hammerfest,NO,2020-09-29 23:01:20,70.66,23.68,46.4,87,20,8.05
172,Fortuna,US,2020-09-29 22:53:13,40.6,-124.16,69.8,60,1,12.75
173,Myaundzha,RU,2020-09-29 23:01:20,63.05,147.19,39.54,82,100,4.05
174,Uva,RU,2020-09-29 23:01:21,56.99,52.19,42.01,92,100,2.35
175,Port Elizabeth,ZA,2020-09-29 22:53:11,-33.92,25.57,50.0,93,36,5.82
176,Kataysk,RU,2020-09-29 23:01:21,56.29,62.58,46.47,94,21,3.56
177,Fairbanks,US,2020-09-29 22:52:19,64.84,-147.72,53.6,54,40,4.7
178,Sioux Lookout,CA,2020-09-29 23:01:21,50.1,-91.92,51.8,81,75,4.7
179,Punta Alta,AR,2020-09-29 23:01:22,-38.88,-62.07,63.75,32,0,10.71
180,Uruzgan,AF,2020-09-29 23:01:22,32.83,66.0,41.23,70,0,0.94
181,Husavik,IS,2020-09-29 22:54:14,66.04,-17.34,33.8,86,40,3.36
182,Alofi,NU,2020-09-29 23:01:22,-19.06,-169.92,80.6,83,75,14.99
183,Najran,SA,2020-09-29 22:58:36,17.49,44.13,73.4,25,20,3.76
184,Thyboron,DK,2020-09-29 23:01:23,56.7,8.21,55.0,82,97,3.0
185,Tiznit,MA,2020-09-29 22:53:39,29.58,-9.5,68.92,70,0,1.74
186,Urengoy,RU,2020-09-29 23:01:23,65.97,78.37,33.67,91,81,7.52
187,Sambava,MG,2020-09-29 22:54:13,-14.27,50.17,73.89,82,33,8.75
188,Half Moon Bay,US,2020-09-29 22:52:58,37.46,-122.43,79.0,87,90,5.82
189,Bluff,NZ,2020-09-29 22:52:59,-46.6,168.33,45.0,92,99,8.01
190,Ust-Kuyga,RU,2020-09-29 23:01:24,70.02,135.6,36.73,84,82,6.53
191,Vanimo,PG,2020-09-29 22:54:56,-2.67,141.3,82.36,76,96,5.35
192,Tabory,RU,2020-09-29 23:01:24,58.52,64.55,41.29,97,65,4.79
193,Kahului,US,2020-09-29 22:56:26,20.89,-156.47,87.8,55,20,14.99
194,Newport,GB,2020-09-29 22:56:49,51.59,-3.0,51.01,90,100,9.37
195,Chumikan,RU,2020-09-29 22:58:42,54.72,135.31,44.91,77,67,12.03
196,Marzuq,YE,2020-09-29 22:55:23,14.4,46.47,75.45,54,21,5.59
197,Port Hardy,CA,2020-09-29 22:53:08,50.7,-127.42,60.8,87,5,2.21
198,Gloversville,US,2020-09-29 23:01:25,43.05,-74.34,60.01,100,90,8.05
199,Morehead,US,2020-09-29 23:01:25,37.27,-87.18,64.4,51,75,5.82
200,Novaya Usman,RU,2020-09-29 23:01:25,51.64,39.41,51.8,34,100,8.95
201,Tasiilaq,GL,2020-09-29 22:53:06,65.61,-37.64,33.8,74,100,12.75
202,Paamiut,GL,2020-09-29 22:55:33,61.99,-49.67,34.56,76,0,13.29
203,Sao Joao Da Barra,BR,2020-09-29 22:54:26,-21.64,-41.05,73.94,88,88,8.99
204,Los Llanos De Aridane,ES,2020-09-29 22:53:39,28.66,-17.92,73.4,73,40,11.41
205,Pangnirtung,CA,2020-09-29 22:53:28,66.15,-65.71,28.4,79,20,5.82
206,Flinders,AU,2020-09-29 22:58:04,-34.58,150.86,64.0,73,100,3.0
207,Safaga,EG,2020-09-29 22:54:08,26.73,33.94,80.6,54,0,11.52
208,Oskaloosa,US,2020-09-29 23:01:26,41.3,-92.64,64.4,48,90,4.7
209,Dingle,PH,2020-09-29 23:01:23,11.0,122.67,77.86,85,100,1.39
210,Gobabis,NA,2020-09-29 22:56:04,-22.45,18.97,54.32,29,8,12.55
