City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Castro,BR,-24.79,-50.01,61.77,94,2,3.44,light rain
137,Kagalnik,RU,47.08,39.32,55.4,66,99,22.37,overcast clouds
138,Kokopo,PG,-4.35,152.26,84.43,72,86,9.62,light rain
139,San Patricio,MX,19.22,-104.7,80.85,83,95,2.55,overcast clouds
140,Barrow,US,71.29,-156.79,32.0,97,90,8.05,light snow
141,Sur,OM,22.57,59.53,86.88,42,0,4.07,clear sky
142,Mopti,ML,14.67,-4.0,80.6,94,26,4.05,scattered clouds
143,Kurilsk,RU,45.23,147.88,59.13,63,100,5.5,overcast clouds
144,Severnoye,RU,56.35,78.36,40.08,73,91,8.68,overcast clouds
145,Turmalina,BR,-17.29,-42.73,69.15,68,0,3.15,clear sky
146,Adelaide,AU,-34.93,138.6,62.01,77,75,16.11,light rain
147,Olinda,BR,-8.01,-34.86,78.8,69,40,10.29,scattered clouds
148,San Joaquin,VE,10.26,-67.79,74.79,78,94,3.06,overcast clouds
149,Margherita,IN,27.28,95.68,87.8,84,20,4.7,few clouds
150,Upernavik,GL,72.79,-56.15,24.08,91,82,10.78,broken clouds
151,Punta Arenas,CL,-53.15,-70.92,33.8,87,75,17.22,light shower snow
152,Urambo,TZ,-5.07,32.05,70.36,65,58,4.59,broken clouds
153,Mogadishu,SO,2.04,45.34,78.73,75,0,12.91,clear sky
154,Hofn,IS,64.25,-15.21,49.48,93,100,11.23,overcast clouds
155,Hilo,US,19.73,-155.09,82.4,69,1,9.17,clear sky
156,Celestun,MX,20.87,-90.4,80.51,85,100,15.43,light rain
157,Maldonado,UY,-34.67,-54.92,57.0,76,0,9.17,clear sky
158,Camacha,PT,33.08,-16.33,69.8,68,75,9.17,broken clouds
159,Bara,NG,10.37,10.73,68.97,94,92,6.46,overcast clouds
160,Tasiilaq,GL,65.61,-37.64,32.0,91,93,4.7,overcast clouds
161,Sao Filipe,CV,14.9,-24.5,79.45,75,17,9.35,few clouds
162,Atuona,PF,-9.8,-139.03,78.46,75,0,19.91,clear sky
163,Imeni Poliny Osipenko,RU,52.42,136.49,52.34,65,97,3.6,overcast clouds
164,Birao,CF,10.28,22.79,71.96,94,100,9.35,moderate rain
165,Tonantins,BR,-2.87,-67.8,73.69,96,100,1.41,overcast clouds
166,Mabaruma,GY,8.2,-59.78,74.19,96,70,2.04,broken clouds
167,Joao Camara,BR,-5.54,-35.82,71.6,94,75,3.36,broken clouds
168,Talnakh,RU,69.49,88.4,30.2,92,1,13.42,clear sky
169,Arraial Do Cabo,BR,-22.97,-42.03,73.47,89,99,9.4,overcast clouds
170,Ahipara,NZ,-35.17,173.17,57.2,60,14,9.73,few clouds
171,Amazar,RU,53.86,120.88,51.85,48,99,3.98,overcast clouds
172,Carballo,ES,43.21,-8.69,55.99,100,90,5.82,overcast clouds
173,Bauru,BR,-22.31,-49.06,71.01,78,39,8.99,scattered clouds
174,Coihaique,CL,-45.58,-72.07,32.0,94,24,1.12,few clouds
175,Port Lincoln,AU,-34.73,135.87,62.58,71,100,22.01,light rain
176,Pacific Grove,US,36.62,-121.92,60.01,82,90,3.36,mist
177,Pacifica,US,37.61,-122.49,64.0,93,90,8.05,mist
178,Tiganesti,RO,43.9,25.37,52.0,81,0,1.01,clear sky
179,Tocopilla,CL,-22.09,-70.2,61.29,63,7,2.53,clear sky
180,Avera,US,33.19,-82.53,60.01,86,100,1.01,overcast clouds
181,Buala,SB,-8.14,159.59,85.39,62,4,3.49,clear sky
182,Mandera,KE,3.94,41.87,77.16,65,8,9.62,clear sky
183,Kindersley,CA,51.47,-109.17,42.8,52,5,11.41,clear sky
184,Bardiyah,LY,31.76,25.09,72.88,78,0,11.7,clear sky
185,Lokosovo,RU,61.13,74.82,43.29,94,100,9.42,overcast clouds
