City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
590,Pasni,PK,82.18,clear sky,25.26,63.47,3G hotel pasni
592,Cockburn Town,TC,84.31,overcast clouds,21.46,-71.14,Osprey Beach Hotel
597,Luwuk,ID,85.14,scattered clouds,-0.95,122.79,Hotel Santika Luwuk
599,Saint-Marc,HT,82.38,overcast clouds,19.11,-72.69,Maguana Hotel
600,Palompon,PH,85.01,overcast clouds,11.05,124.38,Claudio A. Chiong Bed & Bath
602,Ginda,IN,68.0,mist,30.69,78.49,Bal uma sankar hotel and restaurant
604,Labuan,MY,86.0,few clouds,5.28,115.24,Tiara Labuan Hotel
605,Bairiki,KI,86.0,few clouds,1.33,172.98,Tarawa Boutique Hotel
607,Dabhol,IN,73.08,broken clouds,17.6,73.17,Ashwamedh Resort
613,Sinnamary,GF,79.79,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
614,Areosa,PT,66.99,broken clouds,41.72,-8.86,Hotel Flôr de Sal
615,Inyonga,TZ,69.44,scattered clouds,-6.72,32.07,Eden Rock Lodge
616,La Asuncion,VE,81.54,light rain,11.03,-63.86,Colinas de Matasiete
617,Dakar,SN,84.2,broken clouds,14.69,-17.44,Novotel Dakar
621,Hirara,JP,80.6,shower rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
622,Miraflores,MX,69.01,broken clouds,19.22,-98.81,Hotel Mansión
624,Diu,IN,76.33,clear sky,20.71,70.98,Hotel Relax Inn
629,Mahon,ES,68.0,overcast clouds,39.89,4.27,ARTIEM Capri
631,Los Llanos De Aridane,ES,73.4,few clouds,28.66,-17.92,Valle Aridane
632,Cumaral,CO,70.95,overcast clouds,4.27,-73.49,Finca El Jecho
633,Guaraciaba Do Norte,BR,67.77,clear sky,-4.17,-40.75,Gospel Fazenda Park Hotel
635,Nawabganj,BD,81.48,overcast clouds,24.59,88.27,দা সফ্‌ট আইটি
638,Emmett,US,75.2,clear sky,43.87,-116.5,Holiday Motel & R.V Park
645,San Vicente,AR,79.45,light rain,-26.62,-54.13,Complejo Turístico Farelluk
647,Kaoma,ZM,67.91,scattered clouds,-14.78,24.8,KAOMA AIRPORT
651,Baracoa,CU,80.44,scattered clouds,20.35,-74.5,Hostal Rio Miel
652,Lazaro Cardenas,MX,80.44,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
657,Mathbaria,BD,81.66,light rain,22.29,89.96,বাহাদুরের চায়ের ষ্টোর
658,Mareeba,AU,84.2,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
659,Majene,ID,82.85,scattered clouds,-3.54,118.97,Kost Putri RABBANI
660,Lodwar,KE,85.14,overcast clouds,3.12,35.6,Turkwel Lodge
661,Hue,VN,84.2,scattered clouds,16.47,107.6,Saigon Morin Hotel
663,Peruibe,BR,71.37,overcast clouds,-24.32,-47.0,Hotel Pousada Xapuri
665,Manaus,BR,86.0,scattered clouds,-3.1,-60.02,Hotel do Largo
669,Cotonou,BJ,78.8,scattered clouds,6.37,2.42,Novotel Cotonou Orisha
670,Saint-Pierre,RE,69.8,clear sky,-21.34,55.48,Lindsey Hôtel
